id,pergunta,ground_truth
1,Para que serve a Carda TC 15?,"Cardas do tipo TC servem exclusivamente para cardar fibras naturais e químicas, misturas de fibras sintéticas e de algodão, assim como material reciclado."
2,Onde fica a placa de identificação da máquina?,"A placa de identificação da carda se encontra por detrás da terceira porta, no lado esquerdo, debaixo da estrutura da máquina."
3,Quais dados constam na placa de identificação da carda?,"A placa de identificação contém os seguintes dados: Designação do tipo, Número do tipo, Número de comissão, Ano de fabrico, Marca CE."
4,Onde está a placa de identificação elétrica da máquina?,"A placa de identificação com os dados de conexão elétrica se encontra afixada no lado interior da porta direita do painel elétrico."
5,O que contém a placa de identificação elétrica?,"A placa de identificação contém os seguintes dados: Tensão de operação 3 fases AC, Tensão de comando 1 fase AC, Potência instalada, N.º do desenho."
6,O que deve ser feito se entrarem líquidos no painel elétrico?,"Caso tenham entrado líquidos na máquina ou em componentes, desligar a máquina no interruptor principal, bloquear o interruptor contra uma nova ligação e informar o pessoal competente e qualificado ou o pessoal do suporte técnico da Firma Trützschler."
7,O que faz o botão de desconexão de emergência?,"O circuito de desconexão de emergência faz efeito em todos os acionamentos motorizados e cilindros pneumáticos da carda, do alimentador de flocos e da sentinela ou do trocador de vasos. Os acionamentos serão imediatamente freados à máxima retardação e desligados."
8,Quando é possível religar a máquina após acionar a desconexão de emergência?,"Somente é possível voltar a ligar quando o circuito de segurança estiver fechado, ou seja, todas as portas fechadas e trancadas e o botão de desconexão de emergência destrancado."
9,O que acontece ao apertar a tecla de desconexão de emergência?,"Aperte a tecla de desconexão de emergência até ao batente para parar a máquina em caso de emergência. Os acionamentos serão imediatamente freados à máxima retardação e desligados."
10,O que são os dispositivos de segurança nas portas?,"Fora a posta, todas as portas estão providas com trincos de segurança elétricos. As portas protegidas não podem ser abertas com a máquina em funcionamento."
11,Como funciona o interruptor principal?,"Com o interruptor principal, ligue a alimentação de corrente para a máquina (I) e desligue a máquina da alimentação de corrente (O). Em trabalhos de manutenção e de ajustes, você poderá bloquear o interruptor principal desligado com um cadeado."
12,O que significa o símbolo PERIGO no manual?,"Este sinal indica um perigo iminente para o usuário, o qual pode ocorrer devido a lesões mortais ou danos pessoais."
13,O que significa o símbolo Cuidado no manual?,"Este sinal indica perigos que podem causar danos materiais ou a perda de dados."
14,O que significa o símbolo Aviso no manual?,"Este sinal identifica dicas e particularidades que facilitam o manuseio da máquina."
15,Qual é a função principal da carda?,"A carda é alimentada com a ajuda do alimentador de flocos, com uma esteira de fibras uniformemente compactada – o chamado carpete. A carda solta esse carpete até à fibra elementar e coloca as fibras paralelas. Para isso, são removidos eventuais nós (neps) e sujeira residual."
